Date,Open,Discoverable,Findable,Accessible,Available,Accurate,Complete,Authentic,Reliable,Valuable,Identifiable,Retrievable,Timely,Quality,Visible,FAIR,Reuseable,Interoperable
2011,100,0,0,100,100,50,0,0,0,100,0,50,0,0,0,0,100,0
2012,100,0,0,100,100,0,50,0,0,50,0,0,0,0,0,0,100,0
2013,66.66666667,0,0,66.66666667,100,33.33333333,33.33333333,33.33333333,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,0,0,0,66.66666667,0
2014,100,66.66666667,0,100,100,0,0,0,0,33.33333333,0,0,33.33333333,0,0,0,100,0
2015,80,30,0,100,100,30,20,20,30,40,10,0,30,0,0,0,80,0
2016,100,57.14285714,14.28571429,100,57.14285714,14.28571429,14.28571429,14.28571429,14.28571429,71.42857143,57.14285714,28.57142857,28.57142857,14.28571429,0,0,85.71428571,0
2017,90,70,0,100,100,30,30,20,30,50,20,20,50,0,0,0,90,0
2018,100,36.36363636,0,100,90.90909091,18.18181818,9.090909091,9.090909091,18.18181818,45.45454545,27.27272727,18.18181818,36.36363636,0,0,0,81.81818182,0
2019,87.5,75,12.5,81.25,87.5,31.25,25,6.25,25,75,31.25,12.5,31.25,12.5,6.25,31.25,100,18.75
2020,100,46.15384615,38.46153846,100,100,38.46153846,38.46153846,15.38461538,30.76923077,69.23076923,53.84615385,38.46153846,46.15384615,0,0,46.15384615,84.61538462,38.46153846
2021,100,69.23076923,30.76923077,84.61538462,92.30769231,30.76923077,23.07692308,15.38461538,23.07692308,69.23076923,23.07692308,23.07692308,30.76923077,7.692307692,0,53.84615385,84.61538462,38.46153846
2022,100,75,37.5,100,93.75,18.75,12.5,18.75,18.75,75,37.5,18.75,12.5,31.25,6.25,43.75,93.75,37.5
2023,100,61.53846154,38.46153846,100,100,46.15384615,46.15384615,30.76923077,46.15384615,84.61538462,76.92307692,53.84615385,30.76923077,15.38461538,7.692307692,46.15384615,100,38.46153846
2024,91.66666667,50,41.66666667,100,91.66666667,33.33333333,16.66666667,16.66666667,33.33333333,83.33333333,66.66666667,16.66666667,41.66666667,25,0,58.33333333,91.66666667,50
